pageid;category;title;uniquewordcount;doclength;supercategories
231030;Category:Baleen whales;Baleen whale;236;719;
35296506;Category:Baleen whales;Alfaguara project;127;214;
306615;Category:Baleen whales;Balaenidae;90;139;
374367;Category:Baleen whales;Balaenoptera;23;52;
1909411;Category:Baleen whales;Balaenoptera acutorostrata;465;2365;
4705400;Category:Baleen whales;Balaenoptera bonaerensis;158;338;
1993473;Category:Baleen whales;Balaenoptera borealis;489;1682;
1992499;Category:Baleen whales;Balaenoptera brydei;165;302;
2182851;Category:Baleen whales;Balaenoptera edeni;377;1130;
338745;Category:Baleen whales;Balaenoptera musculus;501;1839;
30946294;Category:Baleen whales;Balaenoptera omurai;299;875;
1909309;Category:Baleen whales;Balaenoptera physalus;535;2218;
36730439;Category:Baleen whales;Balaenoptera physalus quoyi;51;90;
4925;Category:Baleen whales;Blue whale;501;1839;
230517;Category:Baleen whales;Bryde's whale;377;1130;
374352;Category:Baleen whales;Caperea;229;504;
1912628;Category:Baleen whales;Caperea marginata;229;504;
30213884;Category:Baleen whales;Cetotheriidae;51;85;
5441822;Category:Baleen whales;Cetotherium;45;68;
300069;Category:Baleen whales;Common minke whale;465;2365;
28372352;Category:Baleen whales;Diunatans;45;63;
734548;Category:Baleen whales;Eobalaenoptera;44;67;
41935440;Category:Baleen whales;Eomysticetus;28;35;
10353;Category:Baleen whales;Eschrichtiidae;101;210;
41803234;Category:Baleen whales;Eschrichtioides;27;31;
374351;Category:Baleen whales;Eschrichtius;474;1823;
1913577;Category:Baleen whales;Eschrichtius robustus;474;1823;
230361;Category:Baleen whales;Fin whale;535;2218;
13026;Category:Baleen whales;Gray whale;474;1823;
41763184;Category:Baleen whales;Herpetocetus;22;25;
231728;Category:Baleen whales;Humpback whale;490;1429;
6526508;Category:Baleen whales;Janjucetus;77;110;
27755772;Category:Baleen whales;Joumocetus;62;119;
19864442;Category:Baleen whales;Kobo whale;84;137;
7167499;Category:Baleen whales;Mammalodon;38;50;
7167515;Category:Baleen whales;Mammalodontidae;18;22;
374369;Category:Baleen whales;Megaptera;490;1429;
311459;Category:Baleen whales;Megaptera novaeangliae;490;1429;
300064;Category:Baleen whales;Minke whale;251;490;
41823452;Category:Baleen whales;Miocaperea;24;26;
311103;Category:Baleen whales;North Atlantic right whale;436;1402;
36730281;Category:Baleen whales;Northern fin whale;41;95;
373363;Category:Baleen whales;Omura's whale;299;875;
41874389;Category:Baleen whales;Peripolocetus;17;17;
38206169;Category:Baleen whales;Piscobalaena;59;90;
41797092;Category:Baleen whales;Plesiocetus;28;46;
41785699;Category:Baleen whales;Protororqualus;19;27;
11784654;Category:Baleen whales;Pygmy blue whale;95;171;
320611;Category:Baleen whales;Pygmy right whale;229;504;
229984;Category:Baleen whales;Rorqual;141;339;
377441;Category:Baleen whales;Sei whale;489;1682;
36730395;Category:Baleen whales;Southern fin whale;51;90;
41757170;Category:Baleen whales;Titanocetus;49;55;
17011;Category:Killer whales;Killer whale;549;2697;
26224100;Category:Killer whales;A1 Pod;152;425;
21507148;Category:Killer whales;Captive killer whales;387;1500;
11470145;Category:Killer whales;Carousel feeding;21;26;
14129783;Category:Killer whales;Dwarf killer whale;26;39;
17829064;Category:Killer whales;Eden Killer Whale Museum;21;25;
11956869;Category:Killer whales;Killer whale attacks on humans;263;778;
22666573;Category:Killer whales;Killer whales in popular culture;92;155;
25213399;Category:Killer whales;List of Northern Resident Killer Whale Pods;37;52;
32663228;Category:Killer whales;Orcinus citoniensis;29;40;
25315665;Category:Killer whales;Southern Resident Killer Whales;152;294;
1697;Category:Whale products;Ambergris;166;246;Category:Whales
3823333;Category:Whale products;Ambrein;16;16;Category:Whales
231070;Category:Whale products;Baleen;103;192;Category:Whales
149269;Category:Whale products;Blubber;116;197;Category:Whales
2394627;Category:Whale products;Cetyl alcohol;23;25;Category:Whales
1136223;Category:Whale products;Scrimshaw;162;329;Category:Whales
4838266;Category:Whale products;Sperm oil;98;189;Category:Whales
313591;Category:Whale products;Spermaceti;101;178;Category:Whales
1729009;Category:Whale products;Tabua;44;50;Category:Whales
2079074;Category:Whale products;Whale oil;108;220;Category:Whales
1697;Category:Whale products;Ambergris;166;246;Category:Whales,Category:Whaling
3823333;Category:Whale products;Ambrein;16;16;Category:Whales,Category:Whaling
231070;Category:Whale products;Baleen;103;192;Category:Whales,Category:Whaling
149269;Category:Whale products;Blubber;116;197;Category:Whales,Category:Whaling
2394627;Category:Whale products;Cetyl alcohol;23;25;Category:Whales,Category:Whaling
1136223;Category:Whale products;Scrimshaw;162;329;Category:Whales,Category:Whaling
4838266;Category:Whale products;Sperm oil;98;189;Category:Whales,Category:Whaling
313591;Category:Whale products;Spermaceti;101;178;Category:Whales,Category:Whaling
1729009;Category:Whale products;Tabua;44;50;Category:Whales,Category:Whaling
2079074;Category:Whale products;Whale oil;108;220;Category:Whales,Category:Whaling
33557;Category:Whaling;Whaling;320;1045;Category:Whales
892355;Category:Whaling;Aboriginal whaling;140;273;Category:Whales
26334539;Category:Whaling;Anti-whaling;407;1489;Category:Whales
35077920;Category:Whaling;Azorean Maritime Heritage Society;14;19;Category:Whales
36234780;Category:Whaling;Blue Whale Unit;24;36;Category:Whales
18848188;Category:Whaling;Boatsteerer;7;8;Category:Whales
669303;Category:Whaling;Coastal Party;53;69;Category:Whales
4205756;Category:Whaling;Dolphin drive hunting;317;1028;Category:Whales
4323456;Category:Whaling;Dundee Whaling Expedition;25;36;Category:Whales
4370864;Category:Whaling;Flensing;132;342;Category:Whales
6014096;Category:Whaling;Grindaknívur;18;21;Category:Whales
26481118;Category:Whaling;Head spade;14;21;Category:Whales
696958;Category:Whaling;High North Alliance;40;54;Category:Whales
36012813;Category:Whaling;History of Basque whaling;414;1793;Category:Whales
897420;Category:Whaling;History of whaling;401;1930;Category:Whales
14933;Category:Whaling;International Convention for the Regulation of Whaling;70;117;Category:Whales
66857;Category:Whaling;International Whaling Commission;318;1202;Category:Whales
9610494;Category:Whaling;IWC meeting in 2005;33;47;Category:Whales
9610143;Category:Whaling;IWC meeting in 2006;88;140;Category:Whales
16793654;Category:Whaling;J. & W. R. Wing Company;35;60;Category:Whales
22135300;Category:Whaling;Jarmann harpoon rifle;39;58;Category:Whales
25480490;Category:Whaling;Nye Lubricants;49;69;Category:Whales
1136223;Category:Whaling;Scrimshaw;162;329;Category:Whales
303628;Category:Whaling;Sea Shepherd Conservation Society;237;799;Category:Whales
2121071;Category:Whaling;Seamen's Bethel;47;83;Category:Whales
20103579;Category:Whaling;Sperm whaling;213;470;Category:Whales
1606598;Category:Whaling;Tay whale;91;173;Category:Whales
16815611;Category:Whaling;Thomas Luce & Company;67;126;Category:Whales
28904701;Category:Whaling;Troaking;19;24;Category:Whales
13013522;Category:Whaling;Try pot;30;58;Category:Whales
1010202;Category:Whaling;Trywork;23;38;Category:Whales
20134604;Category:Whaling;Whale meat;234;614;Category:Whales
24837512;Category:Whaling;Whale Whores;148;388;Category:Whales
25819624;Category:Whaling;Whaling controversy;324;951;Category:Whales
16766533;Category:Whaling;Whaling Disaster of 1871;55;82;Category:Whales
